(E)2003-61@@http://dx.doi.org/10.1080/01650424.2011.597405@     ception trap/K. A. Jackson D. Carpenter BMNH{E}2003–61’’ (BMNH). Paratype: 1<, same
B.M. 1927-63@Pseudochironomous @http://dx.doi.org/10.1080/01650420902787556@     Museum (Natural History) (BMNH). A male, identiﬁed from a mixed sample, will
E52539@@http://dx.doi.org/10.1017/S1477201905001525@      view of a stellate asteroid showing sub-rectangular carinals, MATERIAL EXAMINED. Lectotype BMNH E52539 (Owen,
E52416a,b@@http://dx.doi.org/10.1017/S1477201905001525@      distinguished by the strong curved projections shown by the        MATERIAL EXAMINED.    Holotype BMNH E52416a,b; four
E53957@@http://dx.doi.org/10.1017/S1477201905001525@      which becomes involved in the aboral central ring. However,        BMNH E53957 with R = 12 mm, r = 3 mm.
E52441@@http://dx.doi.org/10.1017/S1477201905001525@      part (holotype BMNH E52441) and is much smaller than               covered by adambulacrals. A single ambulacral is partially
E53957@@http://dx.doi.org/10.1017/S1477201905001525@      sonaster by Spencer (1950), but was reinstated as a separ-         pletely close over the ambulacral groove. In BMNH E53957
E53942@@http://dx.doi.org/10.1017/S1477201905001525@      half. The radial surfaces bear strongly concave facets asso-        BMNH E53942, E53945, E53140 and HM E4714. These
E53945@@http://dx.doi.org/10.1017/S1477201905001525@      half. The radial surfaces bear strongly concave facets asso-        BMNH E53942, E53945, E53140 and HM E4714. These
E53140.@@http://dx.doi.org/10.1017/S1477201905001525@      half. The radial surfaces bear strongly concave facets asso-        BMNH E53942, E53945, E53140 and HM E4714. These
E52857a,b@@http://dx.doi.org/10.1017/S1477201905001525@                 REMARKS. The holotype of S. caractaci is BMNH E52857a,b
20174@@http://dx.doi.org/10.1017/S1477201904001221@      Palaeoburmesebuthusgrimaldii Lourenc¸o: NHM ln. 20174.
R4087@@http://dx.doi.org/10.1017/S1477201907002350@      vjatkensis (PIN 954/1); H, Procolophon trigoniceps (BMNH R4087); I, Neoprocolophon asiaticus (IVPPV866); J, Pentaedrusaurus ordosianus
R4828@@http://dx.doi.org/10.1080/14772019.2011.634444@      pastorum (MIWG 1997.302; block one); C, D, holotype of Leptocleidus superstes (NHMUK R4828). In the line drawings (B, D) dark grey
R609@@http://dx.doi.org/10.1080/14772019.2011.634444@      Material. The holotype (NHMUK R609) comprising a                    dids and many other derived plesiosauroids (Seeley 1892;
R5264@@http://dx.doi.org/10.1080/14772019.2011.634444@      skeleton (NHMUK R5264) including much of the axial                  2001; Dalla Vecchia 2006).
R609@@http://dx.doi.org/10.1080/14772019.2011.634444@      ings, Sussex (NHMUK R609 and unregistered cervical                  lateral portions face dorsomedially. Their posterior midline
R5264@@http://dx.doi.org/10.1080/14772019.2011.634444@      vertebrae; Lydekker 1889) and Brenchley, Kent (NHMUK                contact bears an abraded longitudinal ridge. Transversely
R4828@@http://dx.doi.org/10.1080/14772019.2011.634444@      from the Wadhurst Clay Formation (Benton & Spencer                  stes (NHMUK R4828; the zygapophyses are concave but
R4828@@http://dx.doi.org/10.1080/14772019.2011.634444@      other Lower Jurassic plesiosaurians (e.g. Occitanosaurus,                absent in L. superstes (NHMUK R4828), but this may be
2028/9@@http://dx.doi.org/10.1080/14772019.2011.634444@      dus NHMUK 2028/9, contra Andrews 1922; Macroplata,                       Discussion
R4828@@http://dx.doi.org/10.1080/14772019.2011.634444@      surfaces (Wegner 1914; L. superstes, NHMUK R4828;                    based on comparisons with elasmosaurids), especially cryp-
49202@@http://dx.doi.org/10.1080/14772019.2011.634444@           skulled specimen NHMUK 49202 (‘Plesiosaurus’                      coracoid anterior to this buttress. In ‘microcleidids’
R4828@@http://dx.doi.org/10.1080/14772019.2011.634444@      spp., although additional features are present in Bran-                dus (NHMUK R4828). Its identification requires an
36184@@http://dx.doi.org/10.1080/14772019.2011.634444@      (NHMUK 36184), and a very prominent, rugose ectoptery-             O’Keefe 2001; Druckenmiller & Russell 2008a; Benson
R3377@@http://dx.doi.org/10.1080/14772019.2011.598577@      absent. Turiasaurus could be said to possess small serra-           leedsi’ (NHMUK R3377) from Peterborough, England
R2565@@http://dx.doi.org/10.1080/14772019.2011.598577@      those in basal sauropodomorphs or even basal sauropods.             NHMUK R2004–5 and three numbered NHMUK R2565)
R3377@@http://dx.doi.org/10.1080/14772019.2011.598577@      England (NHMUK R3377) in C, labial; and D, lingual views          neosauropod clades such as Diplodocidae and Titanosauri-
19060@@http://dx.doi.org/10.1080/14772019.2011.565083@      sus, Russia (Bannikov 2004), whereas Neogene fossils                   mm SL; NHM 19060, 16.4 mm SL; †Orrichthys
OC.1328@@http://dx.doi.org/10.1080/14772019.2011.634442@      Barruelian Substage; BMNH OC.1328; scale bar = 10 mm; B, transverse section through smaller rachis (Myeloxylon) with fewer vascular
SC.1363@@http://dx.doi.org/10.1080/14772019.2011.634442@      BMNH SC.1363; scale bar = 1 mm; C, longitudinal section through branching rachis with attached pinnule; Hough Hill, Cheshire, UK;
SC.559@@http://dx.doi.org/10.1080/14772019.2011.634442@      First Coal, Langsettian Substage; BMNH SC.559; scale bar = 1 mm. D, E, paradermal sections through medullosalean pinnules: D,
HC.680@@http://dx.doi.org/10.1080/14772019.2011.634442@      arranged in vertical layers or plates between the veins; BMNH HC.680; scale bar = 0.2 mm.
HC.680:@@http://dx.doi.org/10.1080/14772019.2011.634442@      BMNH HC.680: A, transverse section through lamina showing veins in cross-section, scale bar = 0.5 mm; C, close-up showing upper
V.62924@@http://dx.doi.org/10.1080/14772019.2011.634442@      Kallenberg Seam (lower Asturian Substage); BMNH Slide V.62924; D, Laveineopteris loshii, Royosborn Colliery Borehole, Selby, North
V.62980@@http://dx.doi.org/10.1080/14772019.2011.634442@      Yorkshire, UK; Duckmantian Substage; BMNH Slide V.62980; E, Neuropteris flexuosa, Brogan’s Pit, near Point Aconi, Cape Breton,
V.63052@@http://dx.doi.org/10.1080/14772019.2011.634442@      Canada; c.8 m above Lloyd Cove Seam (lower Cantabrian Substage); BMNH Slide V.63052; F, Laveineopteris tenuifolia, Ronna Mine,
V.62970@@http://dx.doi.org/10.1080/14772019.2011.634442@      North Yorkshire, UK; Duckmantian Substage; BMNH Slide V.62970; B, Laveineopteris bohemica; N´yˇrany-Pankr´ac, Plzeˇn Basin, Czech
V.62925@@http://dx.doi.org/10.1080/14772019.2011.634442@      ovata; Itzenplitz Mine, Saarland, Germany; Kallenberg Seam (lower Asturian Substage); BMNH Slide V.62925; D, Alethopteris ambigua;
V.62295@@http://dx.doi.org/10.1080/14772019.2011.634442@      (upper Asturian Substage); BMNH V.62295; F, Laveineopteris loshii (cyclopterid leaf), Kladno–Dub´ı locality, Central Bohemia Coalfield,
V.32388$1@@http://dx.doi.org/10.1080/14772019.2011.634442@      subtage; BMNH V.32388$1; H, Laveineopteris tenuifolia (cyclopterid leaf); spoil tip, Faulquemont, Lorraine, France; Sulzbach Formation
V.64740$39@@http://dx.doi.org/10.1080/14772019.2011.634442@      (Bolsovian Substage); BMNH V.64740$39.
V.63008@@http://dx.doi.org/10.1080/14772019.2011.634442@      to rachis; St Barbara Colliery, near Neunkirchen, Saarland, Germany; Heiligenwald Formation (Asturian Substage); BMNH V.63008;
V.63152$2@@http://dx.doi.org/10.1080/14772019.2011.634442@      (Westphalian Stage): C, glandular hair showing trace of exudant, BMNH V.63152$2; D, SEM of hair showing part of exudant still in
V.2727$11@@http://dx.doi.org/10.1080/14772019.2011.634442@      position in gland, BMNH V.2727$11. E, Neuropteris ovata; hair base on vein; West Open Pit, near Point Aconi, cape Breton, Canada;
V.64740$11@@http://dx.doi.org/10.1080/14772019.2011.634442@      band of hairs; Faulquemont, Lorraine, France; Bolsovian Substage; BMNH V.64740$11; G, Laveineopteris loshii cyclopterids, showing
V.64741$3@@http://dx.doi.org/10.1080/14772019.2011.634442@      Chapel Hall Pit, Airdrie, UK; BMNH V.64741$3.
V.64740$40@@http://dx.doi.org/10.1080/14772019.2011.634442@      into the pore; BMNH V.64740$39; B, inner surface of cuticle showing a pair of more fully developed hydathodes; BMNH V.64740$40;
V.64740$41@@http://dx.doi.org/10.1080/14772019.2011.634442@      C, D, outer surface of cuticle showing hydathodes with a distinct cutinised collar extending into the pinnule limb; BMNH V.64740$41.
37001@@http://dx.doi.org/10.1080/14772019.2010.525536@      ble. To fulfil this goal, two main objectives were met.           (BMNH 37001; JM 2257; Wellnhofer 2008), Cathayornis
L27982@@http://dx.doi.org/10.1017/S1477201907002374@      that his specimens came from 'one layer on the N.W. side            NHM-L27982, a large (height 115 mm, width 120 mm), com-
L27960.@@http://dx.doi.org/10.1017/S1477201907002374@      was illustrated or those in which new combinations were             left valve labelled NHM-L27960, which she referred to as the
L27983@@http://dx.doi.org/10.1017/S1477201907002374@      completely straight, from San Jose; paralectotype: NHM-             ation. Those authors also provided an extensive synonymy
L27685@@http://dx.doi.org/10.1017/S1477201907002374@      TYPE   MATERIAL. Syntypes       NHM-L27685       and NHM-        TYPE LOCALITY. ' . . . a la Bajada, province d'Entre R`´ıos,
L27686@@http://dx.doi.org/10.1017/S1477201907002374@      TYPE LOCALITY. Syntype NHM-L27686 is from Santa Cruz,            province of Entre R´ıos, Argentine Republic... within the
L27962@@http://dx.doi.org/10.1017/S1477201907002374@      TYPE MATERIAL. Holotype: NHM-L27962.                              which is an internal mould. Although it is lost, the figure
L27696@@http://dx.doi.org/10.1017/S1477201907002374@      (Sowerby, 1846). Lectotype NHM-L27696 (height = 78.4 mm). Figs 5-6 'Venus' subchilensis (d'Orbigny, 1852), from pl. 13, figs 12 & 13 of
L27697@@http://dx.doi.org/10.1017/S1477201907002374@      Julian, Argentina'. Of the two other syntypes, NHM-L27697            'Venus' subchilensis d'Orbigny, 1852 (Pl. 3, figs 5-6)
L27698@@http://dx.doi.org/10.1017/S1477201907002374@      men with very coarse scales on the costal crests, while NHM-              (as Lucina) (junior primary homonym of V. chilensis
27696@@http://dx.doi.org/10.1017/S1477201907002374@      Patagonian Cenozoic and illustrated specimen NHM 27696,
L27977@@http://dx.doi.org/10.1017/S1477201907002374@      Syntype NHM-L27977 (height = 25 mm). Figs 3-4 Diplodon diluvii (d'Orbigny, 1842). Neotype Carnegie Museum of Natural History CM 72654
 NHM-L27985.@@http://dx.doi.org/10.1017/S1477201907002374@      NHM-L27985.                                                        1998   Tindariopsis elegans (Hupe, 1854); Villarroel & Stu-
L27966@@http://dx.doi.org/10.1017/S1477201907002374@      1846). Holotype NHM-L27966 (height = 17.4 mm). Figs 3-5 Tindaria sulculata (Gould, 1852). Syntypes of Nucula elegans Hupé, 1854,
L27695@@http://dx.doi.org/10.1017/S1477201907002374@      northern Patagonia. The specimen illustrated by d'Orbigny TYPE MATERIAL. Holotype: NHM-L27695.
L27963@@http://dx.doi.org/10.1017/S1477201907002374@      three syntypes. Two syntypes (both from Coquimbo) are in TYPE MATERIAL. Syntypes: NHM-L27963 (Santa Cruz),
L27957@@http://dx.doi.org/10.1017/S1477201907002374@      the Typotheque of the Laboratoire de Pal`eontologie, under NHM-L27957, NHM-L27958 and NHM-L27959 (Santa
L27959@@http://dx.doi.org/10.1017/S1477201907002374@      the Typotheque of the Laboratoire de Pal`eontologie, under NHM-L27957, NHM-L27958 and NHM-L27959 (Santa
L27687@@http://dx.doi.org/10.1017/S1477201907002374@      REMARKS.    The exact locality from where the holotype              TYPE MATERIAL.      Holotype: NHM-L27687 (Navidad).
L27967@@http://dx.doi.org/10.1017/S1477201907002374@      Figs 3-4 Spissatella lyellii (Sowerby, 1846). Holotype NHM-L27967 (height = 31 mm). Figs 5-7 'Venus' insulsa Hupé, 1854. Holotype MNHN
L27980@@http://dx.doi.org/10.1017/S1477201907002374@      Hutton, 1873). It is far less complete than suggested by         L27980 (Santa Cruz); paralecto types: NHM-L27973
L27973@@http://dx.doi.org/10.1017/S1477201907002374@      Hutton, 1873). It is far less complete than suggested by         L27980 (Santa Cruz); paralecto types: NHM-L27973
L27981@@http://dx.doi.org/10.1017/S1477201907002374@      Sowerby's figure. A well preserved specimen from the mouth       (Santa Cruz), NHM-L27981 (Santa Cruz), NHM-L27999
L27999@@http://dx.doi.org/10.1017/S1477201907002374@      Sowerby's figure. A well preserved specimen from the mouth       (Santa Cruz), NHM-L27981 (Santa Cruz), NHM-L27999
L27965@@http://dx.doi.org/10.1017/S1477201907002374@      1854 (p. 283, pl. 4, fig. 3) and Ostrea rostrata Hupe, 1854      TYPE MATERIAL. Holotype: NHM-L27965 (Navidad).
L27961@@http://dx.doi.org/10.1017/S1477201907002374@      munsterii (d'Orbigny, 1842). Syntype MNHN-A13718 (height = 28 mm). Fig. 7 Tellinella? oblonga (Sowerby, 1846). Holotype NHM-L27961 (length
L27974@@http://dx.doi.org/10.1017/S1477201907002374@      of slab = 53.5 mm). Figs 8-9 Neilo ornata (Sowerby, 1846). Lectotype NHM-L27974 (height = 21.1 mm).
L27975@@http://dx.doi.org/10.1017/S1477201907002374@      margin is broken and seems to have been completed on the unclear where the second fragment (NHM-L27975) comes
L27955-6@@http://dx.doi.org/10.1017/S1477201907002374@             tim?).                                                      TYPE MATERIAL. Syntype: NHM-L27955-6. The two num-
L27968@@http://dx.doi.org/10.1017/S1477201907002374@      Fig. 3 Hedecardium?puelchum (Sowerby, 1846). Syntypes NHM-L27968 (height = 38.1 mm). Fig. 4 Zygochlamys hupeanus (Philippi, 1887).
L27969@@http://dx.doi.org/10.1017/S1477201907002374@      TYPE MATERIAL. TWO      syntypes: NHM-L27968 and NHM-            (d'Orbigny Collection, Catalogue 8P, 593).
 NHM-L27688@@http://dx.doi.org/10.1017/S1477201907002374@      NHM-L27688 (width = 60 mm). Figs 9-11 Mya? simplex (Hupé, 1854). Syntype MNHN-Gg2002/64 (height = 29 mm). Fig. 12 'Mya' rugata
L27964@@http://dx.doi.org/10.1017/S1477201907002374@      Fig. 4 Tawera?sulculosa (Sowerby, 1846). Holotype NHM-L27964 (height = 18mm). Figs 5-6 Zygochlamys tenuicostatus (Hupé, 1854). Holotype
G26378@@http://dx.doi.org/10.1017/S1477201907002374@      Holotype of Monoceros ambiguus Sowerby, 1846 NHM-G26378 (height = 57.5 mm).
G25287@@http://dx.doi.org/10.1017/S1477201907002374@             fig. 7.                                                    one specimen remains (NHM-G25287) labelled as Santa
G26359-63@@http://dx.doi.org/10.1017/S1477201907002374@      (height 195 mm). Fig. 3 'Turritella' ambulacrum Sowerby, 1846. Syntype NHM-G26359-63 (height = 28.2 mm).
G26378@@http://dx.doi.org/10.1017/S1477201907002374@      TYPE MATERIAL. Holotype: NHM-G26378 (Coquimbo).                        (partim).
G26359@@http://dx.doi.org/10.1017/S1477201907002374@      numbered): NHM-G26359, NHM-G26360, NHM-G26361, pointed out to us that this species must be placed in Sassia.
G26360.@@http://dx.doi.org/10.1017/S1477201907002374@      numbered): NHM-G26359, NHM-G26360, NHM-G26361, pointed out to us that this species must be placed in Sassia.
G26363@@http://dx.doi.org/10.1017/S1477201907002374@      NHM-G26362 and NHM-G26363 (Santa Cruz).
 NHM-G26362@@http://dx.doi.org/10.1017/S1477201907002374@      NHM-G26362 and NHM-G26363 (Santa Cruz).
G26339@@http://dx.doi.org/10.1017/S1477201907002374@      (height = 57.5 mm). Figs 4-10 Testallium cepa (Sowerby, 1846). 4-6, Holotype NHM-G26339 (height = 57 mm). 7,10, Holotype of Fusus labialis
G26418@@http://dx.doi.org/10.1017/S1477201907002374@      it comes from Paita). 'Probably Quebrada Cardo Grande,         types: NHM-G26418, NHM-G26419, NHM-G26420 (Isla
G26419@@http://dx.doi.org/10.1017/S1477201907002374@      it comes from Paita). 'Probably Quebrada Cardo Grande,         types: NHM-G26418, NHM-G26419, NHM-G26420 (Isla
G26420@@http://dx.doi.org/10.1017/S1477201907002374@      it comes from Paita). 'Probably Quebrada Cardo Grande,         types: NHM-G26418, NHM-G26419, NHM-G26420 (Isla
G26397@@http://dx.doi.org/10.1017/S1477201907002374@      Paralectotype MNHN-R09522 (height = 37 mm). Figs 10-11 Valdesia collaris (Sowerby, 1846). Syntype NHM-G26397 (diameter=30mm).
G26345@@http://dx.doi.org/10.1017/S1477201907002374@      Figs 12-13 Kaitoa cosmophila (Sowerby, 1846). Holotype NHM-G26345 (height = 22 mm). Figs 14-15 Zeacuminia costellata (Sowerby, 1846).
